"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","entrez","symbol","chr","start","end","strand","biotype","description"
"1","ENSMUSG00000000001",2.93909173867801e-06,1.56863015283103e-05,-0.377850447903608,0.0808230887279581,7.52843879555222,0.0559998564362682,0.00194575196652704,0.0172395166067462,0.0176513630480551,0.0176513630480551,14679,"Gnai3","3",108107280,108146146,-1,"protein_coding","guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
"2","ENSMUSG00000000028",1.39434794909462e-22,3.21179264084415e-21,-2.2906613724338,0.234257941616482,4.885535124105,1.48438039757082,0.127440137299137,-0.0624008720792919,0.0371902123320361,0.0371902123320361,12544,"Cdc45","16",18780447,18811987,-1,"protein_coding","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
"3","ENSMUSG00000000037",0.000357873061395864,0.00131609758716629,-1.88869034369085,0.529141800123449,3.22382250629437,1.14684002121348,0.459690825625209,-0.24769997380851,0.380282308288444,0.380282308288444,107815,"Scml2","X",161117193,161258213,1,"protein_coding","sex comb on midleg-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1340042]"
"4","ENSMUSG00000000049",2.88519693629156e-05,0.00013077701024595,2.4706545185097,0.590734490147477,1.36942906095578,2.01744831648101,0.261000367796866,0.0411703659768089,0.785901345752534,0.785901345752534,11818,"Apoh","11",108343354,108414396,1,"protein_coding","apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]"
"5","ENSMUSG00000000058",6.4529932859898e-06,3.26219207999355e-05,0.762757264125442,0.169089175897624,5.66417950447824,0.243018059441937,0.012231898356925,0.0735415498602882,0.0239295705014399,0.0735415498602882,12390,"Cav2","6",17281185,17289115,1,"protein_coding","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"6","ENSMUSG00000000088",0.000312102286010561,0.00116235183204886,-0.297489206299049,0.0825203132274971,7.30170977796612,0.0323387990625244,0.00267954278491059,0.00328469178092418,0.0177492635005821,0.0177492635005821,12858,"Cox5a","9",57521274,57532426,1,"protein_coding","cytochrome c oxidase subunit Va [Source:MGI Symbol;Acc:MGI:88474]"
"7","ENSMUSG00000000126",3.13923087506061e-07,1.92848255502414e-06,2.52907446543573,0.494453300224054,2.97158821866917,2.42686309534598,0.184535753667419,0.548916444639956,0.466971644293404,0.548916444639956,216795,"Wnt9a","11",59306928,59333552,1,"protein_coding","wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"
"8","ENSMUSG00000000142",0.00100307816755693,0.00335487693208087,-0.831124592122927,0.252647416885763,4.36966413386612,0.345086537568122,0.0800528663052995,0.111439285471846,0.0667210635241989,0.111439285471846,12006,"Axin2","11",108920349,108950783,1,"protein_coding","axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"
"9","ENSMUSG00000000148",0.00134164359383239,0.00436282161266105,0.342530400586701,0.106809778276067,5.8893226664495,0.0509571123975429,0.0117134984201355,0.0090480217654475,0.0225114877860126,0.0225114877860126,231841,"Brat1","5",140705011,140719379,1,"protein_coding","BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"
"10","ENSMUSG00000000168",1.77524794557227e-07,1.117389963595e-06,-0.576786595752322,0.110464770636293,5.56305325021564,0.122267916047967,0.010740030053258,0.0258673666019287,0.0248863721493983,0.0258673666019287,235339,"Dlat","9",50634633,50659780,-1,"protein_coding","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]"
"11","ENSMUSG00000000171",1.11685884386958e-06,6.34585037086007e-06,-0.394220794571465,0.0809514067456307,7.50324764271764,0.0552825151251925,0.00200536693776729,0.0132401078610676,0.0176540238245223,0.0176540238245223,66925,"Sdhd","9",50596357,50603812,-1,"protein_coding","succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
"12","ENSMUSG00000000184",1.95589021653176e-09,1.56404539246977e-08,-1.45258813964246,0.242040395945412,5.85168184868109,0.738150443724289,0.00883499880005526,0.166915661008181,0.0227281856890257,0.166915661008181,12444,"Ccnd2","6",127125162,127152193,-1,"protein_coding","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"13","ENSMUSG00000000197",1.12066593971927e-08,8.14682460516997e-08,2.02004019915434,0.353687156430314,4.8180507756814,1.25861138666032,0.335550854353024,-0.16863016648522,0.0397329595182605,0.0397329595182605,338370,"Nalcn","14",123276641,123627144,-1,"protein_coding","sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]"
"14","ENSMUSG00000000202",3.05622309678877e-17,4.84929919551355e-16,-0.913241099697984,0.108147596652373,5.80624284303883,0.256357372808421,0.00871078774871847,0.0263769202363345,0.0229887251383912,0.0263769202363345,72014,"Btbd17","11",114791217,114795945,-1,"protein_coding","BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]"
"15","ENSMUSG00000000223",3.03307607190761e-06,1.61511587726174e-05,2.17182120131427,0.46520080348832,4.80681136200544,1.81907124367129,0.315087769423604,0.334147593274931,0.0401819524823923,0.334147593274931,13497,"Drp2","X",134404551,134456573,1,"protein_coding","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]"
"16","ENSMUSG00000000247",0.0019576493742004,0.0061294676957723,-1.71158606407684,0.552733762023407,1.88812034108994,1.20490506622208,0.128168314064435,0.362399944435036,0.788375520977212,0.788375520977212,16870,"Lhx2","2",38339281,38369733,1,"protein_coding","LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]"
"17","ENSMUSG00000000266",1.47025520797721e-06,8.18203708860071e-06,0.725849549281959,0.150740160241877,6.07056285879606,0.201555236886209,0.0199200435421878,0.0482477441870524,0.0213050149056139,0.0482477441870524,23947,"Mid2","X",140664599,140767715,1,"protein_coding","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"18","ENSMUSG00000000278",1.5435210294432e-35,8.48574803452485e-34,1.22330275483085,0.098319479134515,6.95601151227233,0.432071097805801,0.0054755639265803,0.0235245960052667,0.0182211293015599,0.0235245960052667,74617,"Scpep1","11",88924020,88955465,-1,"protein_coding","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]"
"19","ENSMUSG00000000305",3.50760668267183e-11,3.38587492811546e-10,-1.66428135558719,0.25126867175965,4.15298358692977,0.923130104893292,0.0230813194233038,0.166326516800272,0.0924200100871768,0.166326516800272,12561,"Cdh4","2",179442431,179899373,1,"protein_coding","cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]"
"20","ENSMUSG00000000325",1.01930789399449e-06,5.81034398545097e-06,4.5106504151428,0.922824631103785,6.2160814853883,8.02600791039642,0.161917304336926,2.39289859497858,0.0204823099086816,2.39289859497858,11877,"Arvcf","16",18348182,18407076,1,"protein_coding","armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]"
"21","ENSMUSG00000000326",1.77653615398474e-05,8.353815513258e-05,0.450132933462475,0.104895022607518,5.84578586008797,0.0835185981765133,0.00887463931425964,0.0241342579892355,0.02276183890215,0.0241342579892355,12846,"Comt","16",18406886,18426852,-1,"protein_coding","catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]"
"22","ENSMUSG00000000346",6.17725181430355e-11,5.8191862138225e-10,0.820750249101963,0.125508791656547,7.31858036206471,0.22258600780522,0.00477434854636681,0.0424830218028924,0.01773624781803,0.0424830218028924,23994,"Dazap2","15",100615628,100620731,1,"protein_coding","DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
"23","ENSMUSG00000000374",4.72678458012082e-35,2.45478841994909e-33,1.57167634410783,0.12723631028361,5.53877717100121,0.740691326889521,0.005682252508422,0.0428849834553395,0.0251730433163475,0.0428849834553395,216131,"Trappc10","10",78186725,78244641,-1,"protein_coding","trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]"
"24","ENSMUSG00000000384",4.23996786296235e-06,2.21751422160283e-05,-0.875221107750865,0.19029612071104,4.58011382340126,0.237025865834953,0.0573586593002494,-0.0234579631918209,0.051279181372763,0.051279181372763,21379,"Tbrg4","11",6615598,6626067,-1,"protein_coding","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"25","ENSMUSG00000000532",2.15037337278431e-09,1.71372337760852e-08,0.743425353149745,0.124193587176292,5.45025816595559,0.180540885442245,0.0199253891437891,0.0129906973887234,0.0263467521433565,0.0263467521433565,11479,"Acvr1b","15",101174067,101213679,1,"protein_coding","activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"
